Date,BreakFast,Dinner,Lunch,Month,Day,DayOfWeek,IsWeekend,IsHoliday,TotalRevenue,lag_1d,lag_1w,lag_1m,BreakFast_lag_1d,BreakFast_lag_1w,BreakFast_lag_1m,Lunch_lag_1d,Lunch_lag_1w,Lunch_lag_1m,Dinner_lag_1d,Dinner_lag_1w,Dinner_lag_1m
2023-02-06,0.0,0.0,0.0,2,6,0,0,0,0.0,16015.0,11060.0,23000.0,0.0,0.0,0.0,16015.0,11060.0,0.0,0.0,0.0,23000.0
2023-02-07,10945.0,0.0,33570.0,2,7,1,0,0,44515.0,0.0,23070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23070.0,0.0
2023-02-08,0.0,26970.0,0.0,2,8,2,0,0,26970.0,44515.0,0.0,500.0,10945.0,0.0,0.0,33570.0,0.0,500.0,0.0,0.0,0.0
2023-02-09,0.0,19425.0,36420.0,2,9,3,0,0,55845.0,26970.0,52860.0,7500.0,0.0,19610.0,0.0,0.0,3330.0,0.0,26970.0,29920.0,7500.0
2023-02-10,0.0,0.0,1800.0,2,10,4,1,0,1800.0,55845.0,16820.0,7500.0,0.0,0.0,0.0,36420.0,5670.0,7500.0,19425.0,11150.0,0.0
2023-02-11,0.0,28000.0,0.0,2,11,5,1,0,28000.0,1800.0,21205.0,34780.0,0.0,0.0,0.0,1800.0,9205.0,34780.0,0.0,12000.0,0.0
2023-02-12,0.0,14900.0,0.0,2,12,6,0,0,14900.0,28000.0,16015.0,6750.0,0.0,0.0,0.0,0.0,16015.0,0.0,28000.0,0.0,6750.0
2023-02-13,0.0,0.0,10080.0,2,13,0,0,0,10080.0,14900.0,0.0,12250.0,0.0,0.0,0.0,0.0,0.0,0.0,14900.0,0.0,12250.0
2023-02-14,0.0,9750.0,10080.0,2,14,1,0,0,19830.0,10080.0,44515.0,1850.0,0.0,10945.0,0.0,10080.0,33570.0,1850.0,0.0,0.0,0.0
2023-02-15,0.0,0.0,20000.0,2,15,2,0,0,20000.0,19830.0,26970.0,1850.0,0.0,0.0,0.0,10080.0,0.0,1850.0,9750.0,26970.0,0.0
2023-02-16,0.0,6460.0,0.0,2,16,3,0,0,6460.0,20000.0,55845.0,13870.0,0.0,0.0,0.0,20000.0,36420.0,0.0,0.0,19425.0,13870.0
2023-02-17,0.0,9575.0,0.0,2,17,4,1,0,9575.0,6460.0,1800.0,50450.0,0.0,0.0,0.0,0.0,1800.0,9460.0,6460.0,0.0,40990.0
2023-02-18,0.0,15500.0,0.0,2,18,5,1,0,15500.0,9575.0,28000.0,53085.0,0.0,0.0,0.0,0.0,0.0,0.0,9575.0,28000.0,53085.0
2023-02-19,0.0,5250.0,0.0,2,19,6,0,0,5250.0,15500.0,14900.0,18230.0,0.0,0.0,0.0,0.0,0.0,15830.0,15500.0,14900.0,2400.0
2023-02-20,0.0,18510.0,27025.0,2,20,0,0,0,45535.0,5250.0,10080.0,19000.0,0.0,0.0,0.0,0.0,10080.0,0.0,5250.0,0.0,19000.0
2023-02-21,6845.0,29000.0,2800.0,2,21,1,0,0,38645.0,45535.0,19830.0,23700.0,0.0,0.0,0.0,27025.0,10080.0,1500.0,18510.0,9750.0,22200.0
